Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.53     0.00     3987     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::vector<char*, std::allocator<char*> > >, std::_Select1st<std::pair<int const, std::vector<char*, std::allocator<char*> > > >, std::less<int>, std::allocator<std::pair<int const, std::vector<char*, std::allocator<char*> > > > >::_M_end()
  0.00      2.53     0.00     3987     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::vector<char*, std::allocator<char*> > >, std::_Select1st<std::pair<int const, std::vector<char*, std::allocator<char*> > > >, std::less<int>, std::allocator<std::pair<int const, std::vector<char*, std::allocator<char*> > > > >::_M_begin()
  0.00      2.53     0.00     3404     0.00     0.00  __gnu_cxx::__normal_iterator<char**, std::vector<char*, std::allocator<char*> > >::base() const
  0.00      2.53     0.00     3404     0.00     0.00  std::__miter_base<char**, false>::__b(char**)
  0.00      2.53     0.00     3392     0.00     0.00  void std::_Destroy_aux<true>::__destroy<char**>(char**, char**)
  0.00      2.53     0.00     3392     0.00     0.00  std::_Vector_base<char*, std::allocator<char*> >::_M_deallocate(char**, unsigned long)
  0.00      2.53     0.00     3392     0.00     0.00  void std::_Destroy<char**>(char**, char**)
  0.00      2.53     0.00     3392     0.00     0.00  void std::_Destroy<char**, char*>(char**, char**, std::allocator<char*>&)
  0.00      2.53     0.00     3144     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int (*)(void*, void*)>, std::_Select1st<std::pair<std::string const, int (*)(void*, void*)> >, std::less<std::string>, std::allocator<std::pair<std::string const, int (*)(void*, void*)> > >::_M_end()
  0.00      2.53     0.00     3142     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int (*)(void*, void*)>, std::_Select1st<std::pair<std::string const, int (*)(void*, void*)> >, std::less<std::string>, std::allocator<std::pair<std::string const, int (*)(void*, void*)> > >::_M_begin()
  0.00      2.53     0.00     3141     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::new_allocator()
  0.00      2.53     0.00     3141     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, int (*)(void*, void*)> >::operator*() const
  0.00      2.53     0.00     3141     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::allocator()
  0.00      2.53     0.00     3141     0.00     0.00  std::map<std::string, int (*)(void*, void*), std::less<std::string>, std::allocator<std::pair<std::string const, int (*)(void*, void*)> > >::end()
  0.00      2.53     0.00     3141     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::map()
  0.00      2.53     0.00     3141     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int (*)(void*, void*)>, std::_Select1st<std::pair<std::string const, int (*)(void*, void*)> >, std::less<std::string>, std::allocator<std::pair<std::string const, int (*)(void*, void*)> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<std::string const, int (*)(void*, void*)> >*, std::_Rb_tree_node<std::pair<std::string const, int (*)(void*, void*)> >*, std::string const&)
  0.00      2.53     0.00     3141     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_Rb_tree_impl<std::less<std::string>, false>::_M_initialize()
  0.00      2.53     0.00     3141     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_Rb_tree_impl<std::less<std::string>, false>::_Rb_tree_impl()
